Time (s) Run #1,,analog
1276,804,258
1277,804,272
1278,806,268
1279,806,268
1280,806,268
1281,806,270
1282,806,261
1283,806,271
1284,808,255
1285,808,247
1286,808,245
1287,808,245
1288,808,246
1289,808,246
1290,808,233
1291,808,234
1292,808,232
1293,808,242
1294,808,244
1295,808,244
1296,808,244
1297,808,244
1298,808,237
1299,808,245
1300,808,239
1301,808,236
1302,808,237
1303,808,245
1304,808,246
1305,808,244
1306,808,244
1307,808,238
1308,808,243
1309,810,243
1310,810,244
1311,810,244
1312,810,244
1313,810,246
1314,810,245
1315,810,246
1316,810,245
1317,810,230
1318,810,245
1319,810,244
1320,810,236
1321,810,227
1322,810,237
1323,810,236
1324,810,235
1325,812,236
1326,812,233
1327,812,243
1328,812,242
1329,812,242
1330,812,241
1331,812,242
1332,812,235
1333,812,242
1334,812,235
1335,812,238
1336,812,237
1337,812,233
1338,812,243
1339,812,244
1340,812,232
1341,812,243
1342,812,245
1343,812,243
1344,812,237
1345,812,245
1346,812,244
1347,812,245
1348,812,244
1349,812,246
1350,812,246
1351,812,244
1352,814,244
1353,814,244
1354,814,245
1355,814,243
1356,816,245
1357,816,244
1358,816,231
1359,816,243
1360,816,242
1361,816,241
1362,816,236
1363,816,242
1364,816,242
1365,816,242
1366,816,236
1367,816,243
1368,816,245
1369,818,247
1370,818,237
1371,818,239
1372,818,238
1373,818,238
1374,818,239
1375,818,237
1376,818,232
1377,818,244
1378,818,248
1379,818,246
1380,818,247
1381,818,247
1382,818,247
1383,818,246
1384,818,247
1385,818,247
1386,820,247
1387,820,247
1388,820,247
1389,820,248
1390,820,248
1391,820,246
1392,822,247
1393,822,245
1394,822,246
1395,822,244
1396,822,245
1397,822,245
1398,822,246
1399,822,245
1400,822,245
1401,822,245
1402,824,236
1403,824,245
1404,824,238
1405,826,245
1406,826,248
1407,826,244
1408,826,245
1409,826,244
1410,828,244
1411,828,243
1412,828,245
1413,828,243
1414,828,244
1415,828,244
1416,830,243
1417,830,243
1418,830,242
1419,830,237
1420,830,241
1421,830,237
1422,830,241
1423,832,241
1424,832,242
1425,834,241
1426,834,241
1427,836,240
1428,836,241
1429,838,240
1430,840,241
1431,840,243
1432,842,234
1433,844,240
1434,844,243
1435,846,240
1436,846,241
1437,848,239
1438,850,240
1439,852,241
1440,852,238
1441,854,239
1442,854,239
1443,856,239
1444,858,241
1445,860,240
1446,860,240
1447,862,240
1448,864,239
1449,866,241
1450,868,240
1451,868,241
1452,870,243
1453,872,240
1454,874,241
1455,876,240
1456,878,239
1457,880,239
1458,882,233
1459,882,239
1460,884,241
1461,886,241
1462,888,241
1463,888,241
1464,890,241
1465,892,241
1466,892,241
1467,894,234
1468,896,240
1469,896,240
1470,898,230
1471,898,241
1472,900,241
1473,900,241
1474,900,241
1475,900,240
1476,902,240
1477,902,239
1478,902,228
1479,902,242
1480,904,242
1481,904,242
1482,904,241
1483,904,241
1484,904,243
1485,906,241
1486,906,240
1487,904,240
1488,904,240
1489,904,243
1490,904,242
1491,904,241
1492,902,241
1493,902,242
1494,902,240
1495,902,242
1496,902,242
1497,902,240
1498,900,242
1499,900,243
1500,900,242
1501,898,242
1502,898,241
1503,898,242
1504,898,242
1505,896,243
1506,896,241
1507,896,239
1508,896,229
1509,894,238
1510,894,226
1511,894,237
1512,894,238
1513,894,237
1514,894,230
1515,892,240
1516,892,242
1517,892,241
1518,892,242
1519,894,241
1520,894,240
1521,894,241
1522,894,241
1523,894,240
1524,896,238
1525,896,240
1526,896,239
1527,896,239
1528,896,228
1529,896,238
1530,896,239
1531,896,229
1532,894,228
1533,894,226
1534,894,227
1535,894,227
1536,894,227
1537,894,236
1538,894,237
1539,894,238
1540,894,238
1541,894,238
1542,894,228
1543,894,229
1544,894,237
1545,894,230
1546,894,238
1547,894,231
1548,894,239
1549,894,229
1550,894,240
1551,894,239
1552,894,238
1553,894,231
1554,894,240
1555,894,240
1556,894,233
1557,894,240
1558,894,231
1559,894,239
1560,894,240
1561,894,238
1562,896,240
1563,896,238
1564,896,239
1565,896,238
1566,896,238
1567,896,238
1568,896,238
1569,896,239
1570,896,238
1571,896,229
1572,896,239
1573,898,238
1574,898,238
1575,898,238
1576,898,237
1577,898,230
1578,900,236
1579,900,237
1580,900,237
1581,902,237
1582,902,235
1583,902,236
1584,902,236
1585,904,237
1586,904,237
1587,904,228
1588,904,233
1589,904,236
1590,904,221
1591,904,223
1592,904,227
1593,906,223
1594,906,234
1595,906,235
1596,906,235
1597,906,233
1598,906,236
1599,906,235
1600,906,227
1601,908,235
1602,908,237
1603,908,238
1604,908,238
1605,908,230
1606,910,237
1607,910,236
1608,910,236
1609,910,237
1610,912,237
1611,912,237
1612,912,230
1613,912,238
1614,914,238
1615,914,238
1616,914,238
1617,914,238
1618,914,239
1619,914,239
1620,914,238
